the_geom,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
POINT (-90.103671837385 30.003896778035),876990,MONDO,900 HARRISON AVE,,NEW ORLEANS,LA,70124,504-343-2829,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"MONDO RESTAURANT, LLC",3670039.5449,548995.858259
POINT (-90.065095800655 29.95085973894),877213,S & T CENTRE DELI,333 CANAL ST,327,NEW ORLEANS,LA,70130,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),S & T CENTRE DELI LLC,3682462.35061,529842.664897
POINT (-90.066022168221 29.958072866468),876584,COURT TAVERN,614 BOURBON ST,,NEW ORLEANS,LA,70130,504-581-5804,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"JOS FEIN CATERERS, INC",3682139.98901,532462.376708
POINT (-90.106411330237 30.004244365338),877036,NOLA BEANS,762 HARRISON AVE,,NEW ORLEANS,LA,70124,504-267-0783,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),NOLA BEANS LLC,3669171.1387,549112.960595
POINT (-90.068871587909 29.94700549857),876675,ESPIRITU MEZCALERIA,643 MAGAZINE ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"ESPIRITU MEZCALERIA,LLC",3681282.14421,528427.908096
POINT (-90.083995007809 29.980296707564),877046,NONNA MIA CAFE & PIZZERIA,3125 ESPLANADE AVE,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),WOOLF INVESTMENTS LLC,3676360.85077,540481.313675
POINT (-90.05079314389 30.012929781729),877393,THE ORIGNAL FIORELLA'S CAFE,5325 FRANKLIN AVE,,NEW ORLEANS,LA,70122,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"HALF IN TWO, LLC",3686738.90857,552464.076374
POINT (-90.076741222387 30.020815816198),877085,PAPA JOHN'S #4093,1522 ROBERT E LEE BLVD,,NEW ORLEANS,LA,70122,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),PJ OPS LOUISIANA LLC,3678495.63611,555240.771929
POINT (-90.103341144764 30.004675192452),877426,THREE B'S CRAFT BURGER & WINE BAR,911 HARRISON AVE,,NEW ORLEANS,LA,70124,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THREE B'S RESTAURANT LLC,3670141.17114,549280.044435
POINT (-90.074694855444 30.006268607381),877293,SUBWAY,4708 PARIS AVE,,NEW ORLEANS,LA,70122,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"OSITA ENTERPRISES, LLC",3679201.30895,549957.930324
POINT (-90.069903281137 29.955326536141),876613,DEANIE'S SEAFOOD,841 IBERVILLE ST,,NEW ORLEANS,LA,70112,504-834-1225,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CHIFICI ENTERPRISES INC,3680922.06331,531450.138563
POINT (-90.088813687171 29.929605952739),877371,THE ELMS MANSION,3029 ST CHARLES AVE,,NEW ORLEANS,LA,70115,504-250-3747,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THE VAN BENTHUYSEN-ELMS MANSION,3675035.57947,522031.654074
POINT (-90.10282504247 29.93691888552),876751,GREEN TO GO,2633 NAPOLEON AVE,,NEW ORLEANS,LA,70115,504-460-3160,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"GREEN TO GO, LLC",3670569.11079,524642.976764
POINT (-90.115976727001 29.960561848224),877506,YE OLDE COLLEGE INN,3000 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"YE OLDE MEMORIES,LLC",3666312.44813,533195.966916
POINT (-90.067600176786 29.941501867246),876366,ANNUNCIATION RESTAURANT,1016 ANNUNCIATION ST,,NEW ORLEANS,LA,70130,504-525-8810,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"JPATS, L.L.C.",3681706.88296,526431.03379
POINT (-90.067742315758 29.97710586579),876744,GOOD TIMES WINGERY CAFE,2001 ST BERNARD AVE,A-1,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),GOOD TIMES WINGERY CAFE,3681518.86741,539377.467018
POINT (-90.068208005141 29.954331802982),877001,MR B'S BISTRO,201 ROYAL ST,,NEW ORLEANS,LA,70130,504-523-2078,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),MR B'S BISTRO INC,3681462.87343,531094.339778
POINT (-90.068065574515 29.940740811652),877215,SAC-A-LAIT,1051 ANNUNCIATION ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"SAC-A-LAIT,LLC",3681562.54812,526152.658558
